#NAME	A1	A2	A3	A7	A8	A9
ASV_691	0	0	0	43	23	0
ASV_692	0	0	0	34	12	20
ASV_693	0	0	0	25	15	26
ASV_694	0	0	0	22	0	44
ASV_695	24	19	22	0	0	0
ASV_696	15	0	0	24	0	26
ASV_697	34	15	15	0	0	0
ASV_698	29	21	14	0	0	0
ASV_699	26	17	21	0	0	0
ASV_700	0	32	32	0	0	0
ASV_701	0	25	39	0	0	0
ASV_702	0	0	64	0	0	0
ASV_703	0	0	0	43	21	0
ASV_704	0	0	0	36	0	28
ASV_705	0	0	0	32	0	32
ASV_706	0	0	0	29	18	17
ASV_707	0	0	0	28	16	20
ASV_708	0	0	0	22	0	42
ASV_709	0	0	0	0	39	25
ASV_710	0	0	0	0	0	64
ASV_711	41	0	22	0	0	0
ASV_712	30	0	33	0	0	0
ASV_713	0	0	0	63	0	0
ASV_714	0	0	0	40	23	0
ASV_715	0	0	0	29	0	34
ASV_716	0	0	0	0	25	38
ASV_717	37	25	0	0	0	0
ASV_718	25	0	37	0	0	0
ASV_719	21	19	22	0	0	0
ASV_720	0	0	0	44	0	18
ASV_721	0	0	0	33	16	13
ASV_722	0	0	0	22	22	18
ASV_723	0	0	0	18	18	26
ASV_724	34	0	27	0	0	0
ASV_725	20	17	24	0	0	0
ASV_726	0	0	61	0	0	0
ASV_727	0	0	0	61	0	0
ASV_728	0	0	0	41	20	0
ASV_729	0	0	0	0	31	30
ASV_730	0	0	0	60	0	0
ASV_731	0	0	0	0	0	60
ASV_732	35	0	0	24	0	0
ASV_733	24	35	0	0	0	0
ASV_734	21	14	24	0	0	0
ASV_735	15	18	26	0	0	0
ASV_736	0	59	0	0	0	0
ASV_737	0	0	0	59	0	0
ASV_738	0	0	0	42	0	17
ASV_739	0	0	0	39	20	0
ASV_740	0	0	0	34	12	13
ASV_741	0	0	0	0	17	42
ASV_742	0	0	0	0	0	59
ASV_743	58	0	0	0	0	0
ASV_744	58	0	0	0	0	0
ASV_745	27	0	31	0	0	0
ASV_746	0	33	25	0	0	0
ASV_747	0	0	58	0	0	0
ASV_748	0	0	58	0	0	0
ASV_749	0	0	0	58	0	0
ASV_750	0	0	0	58	0	0
ASV_751	0	0	0	47	11	0
ASV_752	0	0	0	31	0	27
ASV_753	0	0	0	24	14	20
ASV_754	0	0	0	23	0	35
ASV_755	0	0	0	0	27	31
ASV_756	0	0	0	0	0	58
ASV_757	0	0	0	0	0	58
ASV_758	0	0	0	0	0	58
ASV_759	22	24	11	0	0	0
ASV_760	13	28	16	0	0	0
ASV_761	0	26	31	0	0	0
ASV_762	0	25	32	0	0	0
ASV_763	0	0	0	57	0	0
ASV_764	0	0	0	28	0	29
ASV_765	39	0	17	0	0	0
ASV_766	0	0	0	56	0	0
ASV_767	0	0	0	31	0	25
ASV_768	0	0	0	29	0	27
ASV_769	0	0	0	23	15	18
